customer_id,customer_unique_id,customer_city,customer_state,zip_code
CUST100000,U93810,Enugu,Enugu,300003
CUST100001,U24592,Ibadan,Oyo,300003
CUST100002,U13278,Kaduna,Kaduna,100001
CUST100003,U46048,Kano,Kano,400004
CUST100004,U42098,Enugu,Enugu,300003
CUST100005,U39256,Port Harcourt,Rivers,unknown
CUST100006,U28289,Enugu,Enugu,300003
CUST100007,U23434,Kaduna,Kaduna,100001
CUST100008,U98696,Kano,Kano,100001
CUST100009,U81482,Ibadan,Oyo,400004
CUST100010,U21395,Kaduna,Kaduna,400004
CUST100011,U87397,Kaduna,Kaduna,unknown
CUST100012,U65302,Port Harcourt,Rivers,unknown
CUST100013,U14165,Benin,Edo,300003
CUST100014,U13905,Kano,Kano,400004
CUST100015,U22280,Abuja,FCT,unknown
CUST100016,U38657,Kaduna,Kaduna,300003
CUST100017,U40495,Benin,Edo,200002
CUST100018,U76237,Abuja,FCT,300003
CUST100019,U88907,Kano,Kano,unknown
CUST100020,U13478,Lagos,Lagos,300003
CUST100021,U83563,Benin,Edo,200002
CUST100022,U36062,Unknown,Unknown,unknown
CUST100023,U95181,Lagos,Lagos,300003
CUST100024,U81426,Port Harcourt,Rivers,unknown
CUST100025,U64987,Enugu,Enugu,300003
CUST100026,U38893,Ibadan,Oyo,100001
CUST100027,U68878,Unknown,Unknown,unknown
CUST100028,U87236,Port Harcourt,Rivers,unknown
CUST100029,U46463,Kano,Kano,unknown
CUST100030,U10851,Port Harcourt,Rivers,unknown
CUST100031,U30926,Enugu,Enugu,300003
CUST100032,U65392,Kano,Kano,400004
CUST100033,U54597,Unknown,Unknown,300003
CUST100034,U46421,Enugu,Enugu,200002
CUST100035,U30379,Abuja,FCT,100001
CUST100036,U38221,Ibadan,Oyo,300003
CUST100037,U54118,Unknown,Unknown,300003
CUST100038,U23396,Abuja,FCT,unknown
CUST100039,U22156,Unknown,Unknown,200002
CUST100040,U59797,Kano,Kano,unknown
CUST100041,U22676,Abuja,FCT,unknown
CUST100042,U57052,Ibadan,Oyo,400004
CUST100043,U55082,Enugu,Enugu,100001
CUST100044,U89131,Kaduna,Kaduna,400004
CUST100045,U44671,Port Harcourt,Rivers,unknown
CUST100046,U15695,Lagos,Lagos,100001
CUST100047,U70217,Ibadan,Oyo,300003
CUST100048,U80284,Abuja,FCT,200002
CUST100049,U26361,Kaduna,Kaduna,400004
CUST100050,U59615,Ibadan,Oyo,200002
CUST100051,U20328,Abuja,FCT,unknown
CUST100052,U82357,Benin,Edo,100001
CUST100053,U48427,Benin,Edo,300003
CUST100054,U92397,Ibadan,Oyo,100001
CUST100055,U91070,Benin,Edo,200002
CUST100056,U57400,Abuja,FCT,200002
CUST100057,U85674,Abuja,FCT,300003
CUST100058,U35203,Ibadan,Oyo,300003
CUST100059,U19116,Kaduna,Kaduna,100001
CUST100060,U16006,Enugu,Enugu,400004
CUST100061,U96673,Unknown,Unknown,100001
CUST100062,U39871,Kaduna,Kaduna,200002
CUST100063,U47930,Kano,Kano,100001
CUST100064,U20458,Abuja,FCT,unknown
CUST100065,U40512,Kano,Kano,100001
CUST100066,U23238,Kaduna,Kaduna,100001
CUST100067,U59823,Unknown,Unknown,unknown
CUST100068,U46434,Unknown,Unknown,200002
CUST100069,U69429,Lagos,Lagos,300003
CUST100070,U93320,Unknown,Unknown,100001
CUST100071,U57819,Enugu,Enugu,400004
CUST100072,U31319,Unknown,Unknown,300003
CUST100073,U58520,Kaduna,Kaduna,400004
CUST100074,U56566,Lagos,Lagos,100001
CUST100075,U37460,Kaduna,Kaduna,400004
CUST100076,U97841,Kaduna,Kaduna,300003
CUST100077,U44993,Port Harcourt,Rivers,400004
CUST100078,U99593,Lagos,Lagos,400004
