order_id,order_item_id,product_id,seller_id,price,freight_value,total_order_value
ORD243927,1,PROD11551,SELL5049,75,20,95
ORD245000,2,PROD11371,SELL2065,10,20,30
ORD238774,2,PROD10745,SELL7646,35,5,40
ORD243514,2,PROD10593,SELL3628,20,5,25
ORD232650,4,PROD10562,SELL3944,35,15,50
ORD203806,3,PROD10341,SELL9712,120,15,135
ORD205826,4,PROD11647,SELL4635,120,5,125
ORD214808,3,PROD10305,SELL5282,20,20,40
ORD218100,2,PROD11819,SELL8680,20,5,25
ORD213568,3,PROD10866,SELL9588,,10,10
ORD207216,1,PROD10547,SELL4813,,10,10
ORD223087,3,PROD10705,SELL5212,35,10,45
ORD217871,1,PROD10934,SELL4078,50,15,65
ORD200738,2,PROD10428,SELL2010,50,0,50
ORD213006,1,PROD10214,SELL2472,10,20,30
ORD237089,2,PROD10741,SELL6975,20,10,30
ORD231412,2,PROD10296,SELL4657,50,0,50
ORD230218,4,PROD10112,SELL7316,10,5,15
ORD235208,3,PROD10496,SELL7023,,5,5
ORD209020,1,PROD10412,SELL7273,20,20,40
ORD207800,2,PROD10737,SELL1024,35,0,35
ORD213412,4,PROD11314,SELL2188,20,10,30
ORD244565,1,PROD10051,SELL8757,,10,10
ORD213927,2,PROD10320,SELL9726,75,20,95
ORD202475,3,PROD11103,SELL9198,120,20,140
ORD215645,1,PROD10608,SELL9128,35,5,40
ORD233083,3,PROD11214,SELL6650,35,15,50
ORD249628,3,PROD11177,SELL8801,10,20,30
ORD231286,2,PROD11872,SELL4376,,10,10
ORD222654,4,PROD11641,SELL7338,,15,15
ORD233318,1,PROD11578,SELL4010,20,5,25
ORD202472,3,PROD11260,SELL2753,20,20,40
ORD208072,1,PROD11221,SELL3811,20,5,25
ORD229058,2,PROD10779,SELL7176,35,20,55
ORD209156,1,PROD10741,SELL6683,75,10,85
ORD234954,4,PROD10023,SELL5936,,15,15
ORD204227,2,PROD10137,SELL8715,10,0,10
ORD206304,2,PROD10889,SELL8539,10,0,10
ORD245472,1,PROD11320,SELL7400,20,10,30
ORD241516,2,PROD10419,SELL5630,20,5,25
ORD219859,2,PROD11531,SELL3729,35,15,50
ORD239076,2,PROD10320,SELL4028,20,15,35
ORD223379,3,PROD11440,SELL2041,20,20,40
ORD231892,3,PROD10680,SELL6989,20,20,40
ORD230009,1,PROD10158,SELL9630,35,5,40
ORD244870,3,PROD10922,SELL7845,10,0,10
ORD206879,4,PROD10035,SELL1778,50,10,60
ORD209635,2,PROD10761,SELL9571,10,15,25
ORD226954,3,PROD10175,SELL9104,75,10,85
ORD236343,3,PROD10851,SELL9221,20,20,40
ORD210927,1,PROD10282,SELL4384,35,0,35
ORD211804,2,PROD10422,SELL1872,50,5,55
ORD203369,1,PROD10537,SELL2692,20,20,40
ORD220065,2,PROD11061,SELL1794,120,0,120
ORD219642,4,PROD11565,SELL5753,120,0,120
ORD217334,1,PROD10075,SELL1634,120,0,120
ORD228489,2,PROD10670,SELL5949,10,10,20
ORD210690,3,PROD11180,SELL4725,,20,20
ORD212907,2,PROD10075,SELL1561,120,0,120
ORD221587,1,PROD10941,SELL8422,75,5,80
ORD229953,4,PROD10663,SELL5134,35,10,45
ORD213959,3,PROD10892,SELL4597,50,5,55
ORD210353,1,PROD11521,SELL1367,35,10,45
ORD231528,2,PROD11777,SELL6074,,0,0
ORD215448,4,PROD11621,SELL3239,35,10,45
ORD219082,4,PROD10321,SELL7878,,15,15
ORD244567,1,PROD10439,SELL1198,75,10,85
ORD200921,4,PROD11699,SELL3143,10,20,30
ORD221026,3,PROD10767,SELL7316,20,0,20
ORD204071,1,PROD10339,SELL2177,20,15,35
ORD210126,2,PROD11744,SELL3508,75,0,75
ORD241577,4,PROD11545,SELL9420,120,5,125
ORD219213,4,PROD10223,SELL3926,35,0,35
ORD243428,1,PROD11229,SELL3467,120,10,130
ORD234577,3,PROD11097,SELL7513,75,20,95
ORD233739,3,PROD11959,SELL8899,,5,5
ORD234754,2,PROD11914,SELL5264,20,10,30
ORD226215,3,PROD11777,SELL3108,10,0,10
ORD208365,4,PROD10166,SELL3020,75,10,85
ORD249731,4,PROD11874,SELL2928,10,15,25
ORD205688,2,PROD10056,SELL9261,10,10,20
ORD216857,4,PROD10069,SELL4926,50,10,60
ORD246292,2,PROD10829,SELL8652,20,5,25
ORD230892,1,PROD11379,SELL3646,20,15,35
ORD238287,2,PROD11508,SELL1961,120,10,130
ORD214959,4,PROD10230,SELL3398,10,10,20
ORD202326,1,PROD11353,SELL2503,10,15,25
ORD232983,3,PROD10488,SELL4906,10,15,25
ORD204605,3,PROD10085,SELL1493,20,20,40
ORD237458,1,PROD11499,SELL2633,,10,10
ORD248346,2,PROD11808,SELL8121,75,15,90
ORD206247,1,PROD11360,SELL9236,120,20,140
ORD203122,1,PROD11385,SELL4231,50,0,50
ORD241728,3,PROD10393,SELL9591,35,10,45
ORD225676,1,PROD11122,SELL3318,35,15,50
ORD229100,4,PROD10540,SELL3527,120,20,140
ORD248131,1,PROD11210,SELL6787,10,10,20
ORD201112,4,PROD11983,SELL9692,50,10,60
ORD237625,4,PROD11101,SELL5976,,20,20
ORD214698,2,PROD10637,SELL3340,120,15,135
ORD202077,4,PROD10753,SELL7108,50,20,70
ORD224461,1,PROD10722,SELL6341,35,10,45
ORD218143,3,PROD11962,SELL5982,50,10,60
ORD208708,3,PROD10475,SELL2858,120,10,130
ORD206636,3,PROD10448,SELL7079,120,15,135
ORD244432,2,PROD11322,SELL7969,75,20,95
ORD212335,1,PROD10415,SELL1936,,0,0
ORD205472,3,PROD10406,SELL5152,50,10,60
ORD234507,2,PROD11121,SELL3307,20,10,30
ORD218712,1,PROD11038,SELL9121,120,0,120
ORD213811,2,PROD10720,SELL5943,10,15,25
ORD241234,3,PROD10195,SELL2096,120,0,120
ORD225658,2,PROD10759,SELL8484,50,20,70
ORD243188,2,PROD10482,SELL1258,50,15,65
ORD204566,1,PROD11755,SELL7137,10,20,30
ORD233446,3,PROD11385,SELL9152,120,10,130
ORD233662,4,PROD10762,SELL4954,20,0,20
ORD228420,4,PROD11992,SELL9581,50,5,55
ORD226023,4,PROD11639,SELL2338,50,10,60
ORD214265,1,PROD10891,SELL8672,50,10,60
ORD208291,1,PROD10017,SELL8263,10,20,30
ORD231181,1,PROD10412,SELL4602,10,10,20
ORD238930,2,PROD11228,SELL6213,35,15,50
ORD220291,3,PROD10428,SELL9558,120,5,125
ORD229207,4,PROD10631,SELL3574,10,20,30
ORD247193,1,PROD10979,SELL9725,75,0,75
