order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,delivery_day
ORD200000,CUST110345,Processing,9/18/23 12:00 AM,10/15/23 12:00 AM,9/29/23 12:00 AM,27
ORD200001,CUST106431,Cancelled,9/13/23 12:00 AM,9/20/23 12:00 AM,9/16/23 12:00 AM,7
ORD200002,CUST102982,Delivered,10/30/22 12:00 AM,11/12/22 12:00 AM,11/16/22 12:00 AM,13
ORD200003,CUST107528,Delivered,3/26/24 12:00 AM,4/18/24 12:00 AM,3/30/24 12:00 AM,23
ORD200004,CUST101731,Shipped,7/28/23 12:00 AM,8/13/23 12:00 AM,8/4/23 12:00 AM,16
ORD200005,CUST107880,Delivered,7/6/23 12:00 AM,8/4/23 12:00 AM,7/13/23 12:00 AM,29
ORD200006,CUST107913,Delivered,6/5/23 12:00 AM,7/3/23 12:00 AM,6/10/23 12:00 AM,28
ORD200007,CUST108557,Processing,12/14/22 12:00 AM,12/31/22 12:00 AM,12/25/22 12:00 AM,17
ORD200008,CUST114015,Cancelled,7/17/23 12:00 AM,7/22/23 12:00 AM,7/21/23 12:00 AM,5
ORD200009,CUST102928,Shipped,5/20/24 12:00 AM,6/16/24 12:00 AM,5/30/24 12:00 AM,27
ORD200010,CUST102626,Processing,10/2/23 12:00 AM,,10/22/23 12:00 AM,
ORD200011,CUST100981,Delivered,4/17/23 12:00 AM,4/23/23 12:00 AM,4/30/23 12:00 AM,6
ORD200012,CUST100994,Delivered,2/23/24 12:00 AM,2/24/24 12:00 AM,2/26/24 12:00 AM,1
ORD200013,CUST102707,Shipped,11/27/22 12:00 AM,12/3/22 12:00 AM,12/2/22 12:00 AM,6
ORD200014,CUST112174,Delivered,5/8/23 12:00 AM,,5/28/23 12:00 AM,
ORD200015,CUST104907,Processing,3/17/24 12:00 AM,4/7/24 12:00 AM,3/20/24 12:00 AM,21
ORD200016,CUST109498,Processing,11/17/22 12:00 AM,11/30/22 12:00 AM,12/6/22 12:00 AM,13
ORD200017,CUST119672,Cancelled,9/25/22 12:00 AM,,10/2/22 12:00 AM,
ORD200018,CUST104934,Shipped,10/22/22 12:00 AM,11/7/22 12:00 AM,10/27/22 12:00 AM,16
