order_id,payment_type,payment_installments,payment_value
ORD211039,Bank_Transfer,7,60
ORD200135,Debit_Card,11,150
ORD246611,Bank_Transfer,3,200
ORD249853,Credit_Card,7,60
ORD240099,Credit_Card,1,60
ORD208894,Voucher,2,40
ORD230177,Voucher,4,150
ORD227404,Debit_Card,7,40
ORD225478,Debit_Card,7,
ORD244600,Credit Card,1,200
ORD244865,Credit_Card,9,20
ORD234471,Credit Card,8,100
ORD203440,Credit Card,3,60
ORD216987,Voucher,1,100
ORD220271,Bank_Transfer,11,20
ORD208106,Credit Card,11,40
ORD231395,Voucher,7,
ORD228109,Credit_Card,10,
ORD213935,Credit_Card,6,200
ORD206316,Debit_Card,5,150
ORD223780,Bank_Transfer,9,
ORD224482,Debit_Card,3,150
ORD228451,Bank_Transfer,8,40
ORD218085,Credit_Card,6,20
ORD220306,Debit_Card,1,60
ORD242748,Voucher,4,100
ORD249440,Voucher,7,20
ORD208255,Credit Card,3,20
ORD229480,Debit_Card,7,20
ORD214897,Credit Card,5,40
ORD205284,Credit_Card,8,100
ORD203750,Bank_Transfer,1,150
ORD226569,Bank_Transfer,2,40
ORD221833,Debit_Card,6,200
ORD204936,Debit_Card,6,
ORD226381,Credit Card,1,20
ORD234909,Voucher,10,60
ORD208160,Debit_Card,6,20
ORD247681,Debit_Card,4,20
ORD211632,Credit_Card,1,100
ORD223522,Credit_Card,10,100
ORD214264,Credit_Card,11,40
ORD247297,Voucher,10,100
ORD230123,Debit_Card,1,150
ORD204992,Voucher,5,200
ORD243130,Credit_Card,11,150
ORD232764,Bank_Transfer,3,20
ORD234799,Bank_Transfer,8,200
ORD227297,Credit Card,2,40
ORD208322,Credit_Card,2,150
ORD206477,Bank_Transfer,11,60
ORD238954,Voucher,10,60
ORD245190,Bank_Transfer,9,100
ORD202834,Credit_Card,3,
ORD227132,Bank_Transfer,2,100
ORD207363,Credit_Card,9,
ORD216158,Credit Card,6,100
ORD219282,Voucher,10,20
ORD245873,Credit Card,10,100
ORD235246,Debit_Card,6,200
ORD223381,Voucher,5,
ORD214335,Bank_Transfer,10,
ORD201750,Bank_Transfer,10,40
ORD218620,Voucher,5,150
ORD201791,Credit Card,1,150
ORD239533,Debit_Card,3,200
ORD241105,Bank_Transfer,5,60
ORD243304,Credit_Card,11,
ORD242505,Voucher,10,40
ORD235639,Bank_Transfer,5,40
ORD201369,Credit_Card,5,20
ORD236285,Credit_Card,7,60
ORD239199,Credit Card,10,20
ORD209153,Bank_Transfer,10,200
ORD233335,Credit Card,8,200
ORD216143,Credit Card,1,100
ORD249419,Credit Card,7,60
ORD225486,Credit_Card,11,20
ORD220228,Bank_Transfer,7,20
ORD225422,Debit_Card,4,200
ORD219502,Debit_Card,11,
ORD206432,Voucher,8,150
ORD248987,Credit_Card,3,40
ORD246821,Credit Card,3,100
ORD208961,Debit_Card,11,20
ORD240510,Credit_Card,4,60
ORD227320,Credit Card,7,200
ORD233924,Credit_Card,2,40
ORD215608,Bank_Transfer,10,40
ORD238484,Bank_Transfer,6,150
ORD249686,Bank_Transfer,4,200
ORD207510,Bank_Transfer,8,200
ORD244645,Voucher,11,
ORD218284,Credit Card,3,100
ORD232296,Credit_Card,9,100
ORD234768,Credit_Card,7,150
ORD229719,Credit_Card,7,150
ORD202879,Debit_Card,7,20
ORD214208,Debit_Card,11,150
ORD226889,Credit_Card,4,60
ORD237885,Credit Card,11,100
ORD235505,Debit_Card,2,150
ORD214576,Voucher,10,20
ORD219147,Credit Card,5,100
ORD246186,Credit Card,11,60
ORD237507,Debit_Card,7,60
ORD215854,Voucher,6,200
ORD246615,Voucher,6,60
ORD206572,Voucher,7,
ORD244350,Debit_Card,10,100
ORD240216,Bank_Transfer,5,60
ORD208205,Voucher,1,200
ORD247211,Bank_Transfer,7,60
ORD247107,Bank_Transfer,6,40
ORD239842,Bank_Transfer,4,200
ORD239699,Bank_Transfer,6,
ORD203516,Debit_Card,8,60
ORD203177,Credit Card,10,200
ORD208701,Voucher,5,60
ORD230621,Voucher,8,
ORD247136,Bank_Transfer,11,100
ORD215903,Credit Card,11,100
ORD214218,Debit_Card,4,40
ORD224657,Credit Card,11,100
ORD227868,Credit_Card,6,150
ORD244615,Voucher,11,100
ORD207829,Bank_Transfer,8,200
ORD233213,Credit Card,3,20
ORD208894,Debit_Card,2,100
ORD220412,Debit_Card,2,
ORD242076,Credit Card,11,40
ORD245757,Voucher,1,60
ORD233904,Bank_Transfer,8,
ORD206517,Bank_Transfer,3,150
ORD247878,Credit_Card,8,200
ORD227280,Voucher,1,200
ORD227818,Voucher,6,150
ORD202982,Credit_Card,9,60
ORD243971,Voucher,5,200
ORD230436,Debit_Card,2,60
ORD220683,Credit_Card,8,
ORD240974,Credit_Card,10,200
ORD242843,Bank_Transfer,4,60
ORD224251,Debit_Card,9,40
ORD229443,Credit_Card,9,40
ORD203043,Debit_Card,9,150
ORD223491,Credit_Card,10,200
ORD223697,Debit_Card,4,60
ORD214252,Bank_Transfer,6,150
ORD228032,Debit_Card,9,20
ORD216258,Voucher,5,60
ORD244459,Bank_Transfer,3,20
ORD248077,Credit Card,2,40
ORD239968,Credit Card,10,150
ORD246451,Bank_Transfer,11,60
ORD222112,Debit_Card,8,60
ORD214884,Voucher,8,40
ORD201736,Credit Card,1,40
ORD224585,Debit_Card,11,150
ORD239188,Voucher,7,150
ORD232076,Bank_Transfer,7,60
ORD220777,Credit_Card,5,
ORD233259,Credit Card,4,200
ORD212459,Credit_Card,11,40
ORD213225,Voucher,10,
ORD229287,Credit Card,11,40
ORD245585,Credit_Card,11,40
ORD220446,Credit_Card,3,40
ORD208735,Bank_Transfer,4,200
ORD235855,Credit Card,5,20
ORD238866,Credit Card,3,200
ORD231506,Voucher,6,
ORD233724,Credit Card,10,20
ORD211062,Bank_Transfer,9,150
ORD205128,Credit Card,8,20
ORD243907,Credit_Card,2,200
ORD219516,Voucher,2,20
ORD244958,Voucher,9,40
ORD204552,Credit_Card,10,40
ORD235534,Debit_Card,6,200
ORD239099,Voucher,1,150
ORD226915,Voucher,5,200
ORD228123,Credit Card,8,60
ORD232573,Credit_Card,1,60
ORD248659,Credit Card,5,20
ORD221125,Credit_Card,10,200
ORD231694,Credit Card,3,200
ORD243322,Credit_Card,3,
ORD248450,Credit_Card,7,40
ORD214969,Credit_Card,5,
ORD233401,Credit_Card,3,20
ORD205802,Bank_Transfer,4,100
ORD231429,Credit Card,7,100
ORD236211,Debit_Card,6,
ORD210997,Debit_Card,7,100
ORD215136,Credit_Card,2,100
ORD216527,Credit_Card,8,150
ORD231011,Credit_Card,11,100
ORD234098,Credit_Card,8,150
ORD222693,Credit_Card,2,60
ORD245628,Credit Card,9,100
ORD229821,Credit_Card,5,20
ORD202317,Debit_Card,4,
ORD222081,Debit_Card,9,
ORD230736,Voucher,1,100
ORD201463,Voucher,8,20
ORD217219,Credit_Card,5,40
ORD205665,Credit_Card,3,
ORD249187,Credit Card,9,60
ORD203518,Debit_Card,1,40
ORD211412,Credit_Card,8,40
ORD206551,Voucher,7,100
ORD228139,Credit Card,5,40
ORD236811,Credit_Card,8,200
ORD213830,Bank_Transfer,1,20
ORD225437,Credit_Card,2,40
ORD242221,Credit Card,9,150
ORD238932,Credit Card,8,200
ORD219606,Credit_Card,3,
ORD228710,Credit Card,2,
ORD236837,Credit Card,1,
ORD224566,Debit_Card,6,200
ORD203884,Debit_Card,10,100
ORD214358,Credit Card,8,20
ORD213185,Bank_Transfer,1,
ORD216527,Bank_Transfer,11,20
ORD241257,Bank_Transfer,6,200
ORD230998,Bank_Transfer,11,60
ORD210885,Bank_Transfer,5,20
ORD239310,Voucher,1,60
ORD227519,Voucher,4,200
ORD220900,Voucher,4,60
ORD205393,Credit Card,6,40
ORD239222,Debit_Card,11,100
ORD245922,Debit_Card,11,60
ORD201481,Voucher,9,100
ORD226088,Credit_Card,5,200
ORD245633,Voucher,10,200
ORD239021,Voucher,2,150
ORD216136,Credit_Card,4,100
ORD225553,Voucher,10,
ORD226535,Debit_Card,2,150
ORD245569,Credit_Card,9,150
ORD243021,Bank_Transfer,9,150
ORD204216,Voucher,3,20
ORD215844,Credit_Card,10,60
ORD209063,Credit Card,8,100
ORD234465,Credit_Card,1,60
ORD200778,Credit Card,3,200
ORD234094,Credit_Card,5,20
ORD249683,Credit_Card,8,20
ORD226653,Bank_Transfer,6,60
ORD222177,Debit_Card,4,
ORD201332,Credit_Card,1,200
ORD208035,Debit_Card,2,200
ORD239344,Bank_Transfer,3,40
ORD212068,Bank_Transfer,7,100
ORD218442,Credit_Card,9,150
ORD220636,Credit Card,11,20
ORD230845,Credit Card,6,150
ORD218388,Credit_Card,10,150
ORD247325,Debit_Card,4,100
ORD219031,Voucher,2,200
ORD227335,Bank_Transfer,5,
ORD221892,Credit Card,8,
ORD200953,Debit_Card,9,
ORD212404,Bank_Transfer,11,150
ORD246200,Debit_Card,1,
ORD218773,Debit_Card,8,150
ORD216481,Credit_Card,10,20
ORD229516,Credit Card,11,100
ORD232583,Bank_Transfer,10,200
ORD236097,Debit_Card,9,150
ORD248626,Voucher,5,40
ORD244212,Credit Card,4,20
ORD240202,Credit Card,6,100
ORD207708,Voucher,3,100
ORD239123,Voucher,11,
ORD219354,Debit_Card,1,100
ORD227544,Credit_Card,5,200
ORD244199,Voucher,3,150
ORD235652,Debit_Card,5,60
ORD230553,Credit Card,5,40
ORD231383,Bank_Transfer,5,
ORD226079,Credit_Card,8,40
ORD246964,Voucher,2,60
ORD245238,Debit_Card,9,200
ORD225518,Credit Card,5,100
ORD220730,Voucher,5,20
ORD219974,Credit_Card,2,
ORD228141,Debit_Card,9,20
ORD233266,Voucher,10,40
ORD241546,Bank_Transfer,3,40
ORD211049,Credit_Card,9,20
ORD232170,Credit_Card,4,200
ORD211932,Debit_Card,11,60
ORD213997,Voucher,7,100
ORD247565,Debit_Card,11,
ORD240137,Debit_Card,10,20
ORD240607,Credit Card,10,150
ORD215631,Credit_Card,3,
ORD210449,Voucher,6,200
ORD202217,Bank_Transfer,6,100
ORD212969,Voucher,8,100
ORD241539,Credit_Card,11,20
ORD220511,Voucher,4,40
ORD201950,Credit_Card,4,
ORD230874,Credit_Card,3,100
ORD232017,Voucher,3,20
ORD207814,Bank_Transfer,3,
ORD232021,Credit Card,9,60
ORD220596,Credit Card,5,200
ORD249733,Voucher,10,
ORD246106,Bank_Transfer,11,60
ORD209096,Debit_Card,1,100
ORD240177,Bank_Transfer,9,200
ORD210834,Credit_Card,10,40
ORD200749,Credit Card,11,150
ORD231962,Bank_Transfer,5,20
ORD202776,Credit_Card,2,
ORD211550,Debit_Card,7,200
ORD206794,Bank_Transfer,2,20
ORD239840,Voucher,9,40
